"","ID","gpa","cm1relf","cm1marf","cm1cohf","m1f8","m1f9","mx1j2","cm1hhinc","cm1hhimp","cm1inpov","cm1povca","m1e3a","cm2mint","cm2fdiff","cm2samp","cm1citsm","cm1bsex","m1a10","cm1fint","m1b0","cm1numb","innatsm","incitysm","m1a4","cf1fint","challengeID","cm1relf.1","cm1marf.1","cm1cohf.1","m1e3a.1","cm1numb.1","m1b0.1","m1f8.1","m1f9.1","mx1j2.1","cf1fint.1","cm2mint.1","cm2fdiff.1","cm2samp.1","cm1hhinc.1","cm1hhimp.1","cm1inpov.1","cm1povca.1","challengeID.1","cm1citsm.1","innatsm.1","m1a10.1","cm1fint.1","cm1bsex.1","m1a4.1","incitysm.1","cm1relf.2","cm1marf.2","cm1bsex.2","cm1numb.2","m1b0.2","cm1hhinc.2","cm1hhimp.2","cm1inpov.2","cm1povca.2","m1f8.2","m1f9.2","mx1j2.2","cf1fint.2","cm2mint.2","cm2fdiff.2","cm2samp.2","cm1cohf.2","m1e3a.2","challengeID.2","cm1citsm.2","m1a4.2","incitysm.2","m1a10.2","cm1fint.2","innatsm.2","incitysm.3","m1a4.3","m1a10.3","cm1bsex.3","cm1numb.3","m1b0.3","challengeID.3","cm1relf.3","cm1marf.3","cm1cohf.3","innatsm.3","m1e3a.3","cm1citsm.3","cm1fint.3","m1f8.3","m1f9.3"
"17",35,3,2,0,1,1,1,-5,24426.1613986463,2,0,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,17,2,0,1,1,1,2,1,1,-5,1,1,0,-7,24426.1613986463,2,0,3,17,1,1,2,1,1,2,1,2,0,1,1,2,24426.1613986463,2,0,3,1,1,-5,1,1,0,-7,1,1,17,1,2,1,2,1,1,1,2,2,1,1,2,17,2,0,1,1,1,1,1,1,1
"19",40,3,3,0,0,-2,-2,-5,13531.7686626954,4,0.562367347892019,1,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,19,3,0,0,2,1,2,-2,-2,-5,1,1,0,-7,13531.7686626954,4,0.562367347892019,1,19,1,1,2,1,1,2,1,3,0,1,1,2,13531.7686626954,4,0.562367347892019,1,-2,-2,-5,1,1,0,-7,0,2,19,1,2,1,2,1,1,1,2,2,1,1,2,19,3,0,0,1,2,1,1,-2,-2
"20",43,3,1,1,0,-2,-2,-5,66503.7220090117,4,2.21570568636914,3,2,1,0,-7,1,1,1,0,2,1,1,1,1,0,20,1,1,0,2,1,2,-2,-2,-5,0,1,0,-7,66503.7220090117,4,2.21570568636914,3,20,1,1,1,0,1,1,1,1,1,1,1,2,66503.7220090117,4,2.21570568636914,3,-2,-2,-5,0,1,0,-7,0,2,20,1,1,1,1,0,1,1,1,1,1,1,2,20,1,1,0,1,2,1,0,-2,-2
"21",45,3,2,0,1,2,1,-5,20639.8168135897,3,0.35544999690328,2,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,21,2,0,1,1,1,2,2,1,-5,1,1,0,-7,20639.8168135897,3,0.35544999690328,2,21,1,1,2,1,1,2,1,2,0,1,1,2,20639.8168135897,3,0.35544999690328,2,2,1,-5,1,1,0,-7,1,1,21,1,2,1,2,1,1,1,2,2,1,1,2,21,2,0,1,1,1,1,1,2,1
"22",46,3.5,1,1,0,2,2,-5,55416.955950036,4,4.57581545121933,5,2,1,0,-7,1,2,1,1,2,1,0,1,1,1,22,1,1,0,2,1,2,2,2,-5,1,1,0,-7,55416.955950036,4,4.57581545121933,5,22,1,0,1,1,2,1,1,1,1,2,1,2,55416.955950036,4,4.57581545121933,5,2,2,-5,1,1,0,-7,0,2,22,1,1,1,1,1,0,1,1,1,2,1,2,22,1,1,0,0,2,1,1,2,2
"23",47,3.5,2,0,1,1,1,-5,13254.6130485835,4,3.25030222478416,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,23,2,0,1,1,1,2,1,1,-5,1,1,0,-7,13254.6130485835,4,3.25030222478416,3,23,1,1,2,1,1,2,1,2,0,1,1,2,13254.6130485835,4,3.25030222478416,3,1,1,-5,1,1,0,-7,1,1,23,1,2,1,2,1,1,1,2,2,1,1,2,23,2,0,1,1,1,1,1,1,1
"25",52,3.25,2,0,1,-2,-2,-5,61647.4802109796,4,5.37952400473911,5,2,1,0,-7,1,1,2,0,2,1,1,1,2,0,25,2,0,1,2,1,2,-2,-2,-5,0,1,0,-7,61647.4802109796,4,5.37952400473911,5,25,1,1,2,0,1,2,1,2,0,1,1,2,61647.4802109796,4,5.37952400473911,5,-2,-2,-5,0,1,0,-7,1,2,25,1,2,1,2,0,1,1,2,2,1,1,2,25,2,0,1,1,2,1,0,-2,-2
"26",53,2.75,3,0,0,1,2,-5,0,4,0.486109986270393,2,2,1,0,-7,1,1,2,0,2,1,0,1,2,0,26,3,0,0,2,1,2,1,2,-5,0,1,0,-7,0,4,0.486109986270393,2,26,1,0,2,0,1,2,1,3,0,1,1,2,0,4,0.486109986270393,2,1,2,-5,0,1,0,-7,0,2,26,1,2,1,2,0,0,1,2,2,1,1,2,26,3,0,0,0,2,1,0,1,2
"30",57,3,1,1,0,-2,1,-5,72465.1754854472,4,2.36779618009398,5,1,1,0,-7,1,1,1,1,2,1,1,1,1,1,30,1,1,0,1,1,2,-2,1,-5,1,1,0,-7,72465.1754854472,4,2.36779618009398,5,30,1,1,1,1,1,1,1,1,1,1,1,2,72465.1754854472,4,2.36779618009398,5,-2,1,-5,1,1,0,-7,0,1,30,1,1,1,1,1,1,1,1,1,1,1,2,30,1,1,0,1,1,1,1,-2,1
"31",58,3.25,2,0,1,-2,-2,-5,14801.4752558203,4,0.260783893122989,2,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,31,2,0,1,2,1,2,-2,-2,-5,1,1,0,-7,14801.4752558203,4,0.260783893122989,2,31,1,0,2,1,2,2,1,2,0,2,1,2,14801.4752558203,4,0.260783893122989,2,-2,-2,-5,1,1,0,-7,1,2,31,1,2,1,2,1,0,1,2,2,2,1,2,31,2,0,1,0,2,1,1,-2,-2
"32",60,2.75,2,0,1,2,1,-5,40606.400622528,4,1.84257839657822,4,1,1,0,-7,1,2,2,0,2,1,0,1,2,0,32,2,0,1,1,1,2,2,1,-5,0,1,0,-7,40606.400622528,4,1.84257839657822,4,32,1,0,2,0,2,2,1,2,0,2,1,2,40606.400622528,4,1.84257839657822,4,2,1,-5,0,1,0,-7,1,1,32,1,2,1,2,0,0,1,2,2,2,1,2,32,2,0,1,0,1,1,0,2,1
"33",61,4,1,1,0,-2,-2,-5,61294.887181128,4,5.55796436549026,5,2,1,0,-7,1,2,1,1,2,1,0,1,1,1,33,1,1,0,2,1,2,-2,-2,-5,1,1,0,-7,61294.887181128,4,5.55796436549026,5,33,1,0,1,1,2,1,1,1,1,2,1,2,61294.887181128,4,5.55796436549026,5,-2,-2,-5,1,1,0,-7,0,2,33,1,1,1,1,1,0,1,1,1,2,1,2,33,1,1,0,0,2,1,1,-2,-2
"34",62,3.25,3,0,0,1,1,-5,37591.2426721707,4,2.15708150087385,3,1,0,0,5,1,1,2,0,2,1,1,1,2,0,34,3,0,0,1,1,2,1,1,-5,0,0,0,5,37591.2426721707,4,2.15708150087385,3,34,1,1,2,0,1,2,1,3,0,1,1,2,37591.2426721707,4,2.15708150087385,3,1,1,-5,0,0,0,5,0,1,34,1,2,1,2,0,1,1,2,2,1,1,2,34,3,0,0,1,1,1,0,1,1
"35",64,3.75,3,0,0,2,1,-5,19026.5271380292,4,1.39881588620146,2,2,1,0,-7,1,2,2,0,2,1,0,1,2,0,35,3,0,0,2,1,2,2,1,-5,0,1,0,-7,19026.5271380292,4,1.39881588620146,2,35,1,0,2,0,2,2,1,3,0,2,1,2,19026.5271380292,4,1.39881588620146,2,2,1,-5,0,1,0,-7,0,2,35,1,2,1,2,0,0,1,2,2,2,1,2,35,3,0,0,0,2,1,0,2,1
"36",66,3.5,6,0,0,-2,-2,-5,18886.6634878211,6,2.7359438050363,4,2,1,0,-7,1,2,2,0,2,1,1,1,2,0,36,6,0,0,2,1,2,-2,-2,-5,0,1,0,-7,18886.6634878211,6,2.7359438050363,4,36,1,1,2,0,2,2,1,6,0,2,1,2,18886.6634878211,6,2.7359438050363,4,-2,-2,-5,0,1,0,-7,0,2,36,1,2,1,2,0,1,1,2,2,2,1,2,36,6,0,0,1,2,1,0,-2,-2
"38",69,3,2,0,1,-2,-2,-5,0,4,0,1,1,1,0,-7,1,2,2,0,2,1,0,1,2,0,38,2,0,1,1,1,2,-2,-2,-5,0,1,0,-7,0,4,0,1,38,1,0,2,0,2,2,1,2,0,2,1,2,0,4,0,1,-2,-2,-5,0,1,0,-7,1,1,38,1,2,1,2,0,0,1,2,2,2,1,2,38,2,0,1,0,1,1,0,-2,-2
"39",70,3.5,2,0,1,1,1,-5,52495.0786145116,4,2.48509587567137,5,2,1,0,-7,0,2,2,1,2,1,0,0,2,1,39,2,0,1,2,1,2,1,1,-5,1,1,0,-7,52495.0786145116,4,2.48509587567137,5,39,0,0,2,1,2,2,0,2,0,2,1,2,52495.0786145116,4,2.48509587567137,5,1,1,-5,1,1,0,-7,1,2,39,0,2,0,2,1,0,0,2,2,2,1,2,39,2,0,1,0,2,0,1,1,1
"40",72,3.25,3,0,0,-2,1,-5,0,4,0.534928202020999,1,1,1,0,3,1,1,2,1,2,1,1,1,2,1,40,3,0,0,1,1,2,-2,1,-5,1,1,0,3,0,4,0.534928202020999,1,40,1,1,2,1,1,2,1,3,0,1,1,2,0,4,0.534928202020999,1,-2,1,-5,1,1,0,3,0,1,40,1,2,1,2,1,1,1,2,2,1,1,2,40,3,0,0,1,1,1,1,-2,1
"45",80,2.75,5,0,0,1,1,-5,25655.4847578791,6,0.982290658347538,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,45,5,0,0,2,1,2,1,1,-5,1,1,0,-7,25655.4847578791,6,0.982290658347538,3,45,1,1,2,1,1,2,1,5,0,1,1,2,25655.4847578791,6,0.982290658347538,3,1,1,-5,1,1,0,-7,0,2,45,1,2,1,2,1,1,1,2,2,1,1,2,45,5,0,0,1,2,1,1,1,1
"48",84,2.75,2,0,1,1,1,-5,96130.6975310945,3,2.90215484048741,4,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,48,2,0,1,1,1,2,1,1,-5,1,1,0,-7,96130.6975310945,3,2.90215484048741,4,48,1,1,2,1,2,2,1,2,0,2,1,2,96130.6975310945,3,2.90215484048741,4,1,1,-5,1,1,0,-7,1,1,48,1,2,1,2,1,1,1,2,2,2,1,2,48,2,0,1,1,1,1,1,1,1
"52",93,2.5,1,1,0,-2,1,-5,58600.3367416339,4,4.20141079412153,5,2,1,0,-7,1,2,1,1,2,1,0,1,1,1,52,1,1,0,2,1,2,-2,1,-5,1,1,0,-7,58600.3367416339,4,4.20141079412153,5,52,1,0,1,1,2,1,1,1,1,2,1,2,58600.3367416339,4,4.20141079412153,5,-2,1,-5,1,1,0,-7,0,2,52,1,1,1,1,1,0,1,1,1,2,1,2,52,1,1,0,0,2,1,1,-2,1
"56",104,2.5,4,0,0,-2,-2,-5,0,4,1.06533775986548,1,2,1,0,-7,1,1,2,0,2,1,1,1,2,0,56,4,0,0,2,1,2,-2,-2,-5,0,1,0,-7,0,4,1.06533775986548,1,56,1,1,2,0,1,2,1,4,0,1,1,2,0,4,1.06533775986548,1,-2,-2,-5,0,1,0,-7,0,2,56,1,2,1,2,0,1,1,2,2,1,1,2,56,4,0,0,1,2,1,0,-2,-2
"57",107,3.25,2,0,1,-2,-2,-5,59302.8548801559,4,1.97594180304496,4,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,57,2,0,1,1,1,2,-2,-2,-5,1,1,0,-7,59302.8548801559,4,1.97594180304496,4,57,1,1,2,1,1,2,1,2,0,1,1,2,59302.8548801559,4,1.97594180304496,4,-2,-2,-5,1,1,0,-7,1,1,57,1,2,1,2,1,1,1,2,2,1,1,2,57,2,0,1,1,1,1,1,-2,-2
"59",110,3.25,2,0,1,1,1,-5,22106.3993651193,4,0.175547174838654,3,2,1,0,-7,0,1,2,1,2,1,0,0,2,1,59,2,0,1,2,1,2,1,1,-5,1,1,0,-7,22106.3993651193,4,0.175547174838654,3,59,0,0,2,1,1,2,0,2,0,1,1,2,22106.3993651193,4,0.175547174838654,3,1,1,-5,1,1,0,-7,1,2,59,0,2,0,2,1,0,0,2,2,1,1,2,59,2,0,1,0,2,0,1,1,1
"60",111,3.75,2,0,1,2,2,-5,56135.7461698619,2,3.34056410578567,5,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,60,2,0,1,1,1,2,2,2,-5,1,1,0,-7,56135.7461698619,2,3.34056410578567,5,60,1,1,2,1,1,2,1,2,0,1,1,2,56135.7461698619,2,3.34056410578567,5,2,2,-5,1,1,0,-7,1,1,60,1,2,1,2,1,1,1,2,2,1,1,2,60,2,0,1,1,1,1,1,2,2
"61",119,1.25,2,0,1,-2,-2,-5,13940.2150712862,4,1.32716932006485,3,2,1,0,-7,1,2,2,0,2,1,1,1,2,0,61,2,0,1,2,1,2,-2,-2,-5,0,1,0,-7,13940.2150712862,4,1.32716932006485,3,61,1,1,2,0,2,2,1,2,0,2,1,2,13940.2150712862,4,1.32716932006485,3,-2,-2,-5,0,1,0,-7,1,2,61,1,2,1,2,0,1,1,2,2,2,1,2,61,2,0,1,1,2,1,0,-2,-2
"64",123,2.75,1,1,0,1,1,-5,60922.6273843581,4,5.4375430934632,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,64,1,1,0,2,1,2,1,1,-5,1,1,0,-7,60922.6273843581,4,5.4375430934632,5,64,1,1,1,1,1,1,1,1,1,1,1,2,60922.6273843581,4,5.4375430934632,5,1,1,-5,1,1,0,-7,0,2,64,1,1,1,1,1,1,1,1,1,1,1,2,64,1,1,0,1,2,1,1,1,1
"65",124,2.5,6,0,0,1,1,-5,11774.2765567187,6,1.02158140669731,2,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,65,6,0,0,2,1,2,1,1,-5,1,1,0,-7,11774.2765567187,6,1.02158140669731,2,65,1,1,2,1,2,2,1,6,0,2,1,2,11774.2765567187,6,1.02158140669731,2,1,1,-5,1,1,0,-7,0,2,65,1,2,1,2,1,1,1,2,2,2,1,2,65,6,0,0,1,2,1,1,1,1
"66",125,2.25,3,0,0,-2,-2,-5,0,4,1.50147368022967,2,1,1,0,-7,1,2,2,1,2,1,0,1,2,1,66,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,0,4,1.50147368022967,2,66,1,0,2,1,2,2,1,3,0,2,1,2,0,4,1.50147368022967,2,-2,-2,-5,1,1,0,-7,0,1,66,1,2,1,2,1,0,1,2,2,2,1,2,66,3,0,0,0,1,1,1,-2,-2
"69",131,3.5,2,0,1,-2,-2,-5,41947.6998214784,4,2.45918173731083,4,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,69,2,0,1,2,1,2,-2,-2,-5,1,1,0,-7,41947.6998214784,4,2.45918173731083,4,69,1,1,2,1,2,2,1,2,0,2,1,2,41947.6998214784,4,2.45918173731083,4,-2,-2,-5,1,1,0,-7,1,2,69,1,2,1,2,1,1,1,2,2,2,1,2,69,2,0,1,1,2,1,1,-2,-2
"71",137,2.25,4,0,0,-2,1,-5,17486.6088785454,6,1.99836732452384,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,71,4,0,0,1,1,2,-2,1,-5,1,1,0,-7,17486.6088785454,6,1.99836732452384,3,71,1,1,2,1,1,2,1,4,0,1,1,2,17486.6088785454,6,1.99836732452384,3,-2,1,-5,1,1,0,-7,0,1,71,1,2,1,2,1,1,1,2,2,1,1,2,71,4,0,0,1,1,1,1,-2,1
"72",143,3.5,2,0,1,2,1,-5,6250.5159681861,4,1.56040983746384,4,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,72,2,0,1,2,1,2,2,1,-5,1,1,0,-7,6250.5159681861,4,1.56040983746384,4,72,1,1,2,1,2,2,1,2,0,2,1,2,6250.5159681861,4,1.56040983746384,4,2,1,-5,1,1,0,-7,1,2,72,1,2,1,2,1,1,1,2,2,2,1,2,72,2,0,1,1,2,1,1,2,1
"73",145,2.5,2,0,1,2,1,-5,6389.8013569885,4,0.122159011257762,1,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,73,2,0,1,2,1,2,2,1,-5,1,1,0,-7,6389.8013569885,4,0.122159011257762,1,73,1,0,2,1,2,2,1,2,0,2,1,2,6389.8013569885,4,0.122159011257762,1,2,1,-5,1,1,0,-7,1,2,73,1,2,1,2,1,0,1,2,2,2,1,2,73,2,0,1,0,2,1,1,2,1
"74",148,2.75,2,0,1,2,2,-5,0,4,0.442281932922842,3,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,74,2,0,1,2,1,2,2,2,-5,1,1,0,-7,0,4,0.442281932922842,3,74,1,1,2,1,2,2,1,2,0,2,1,2,0,4,0.442281932922842,3,2,2,-5,1,1,0,-7,1,2,74,1,2,1,2,1,1,1,2,2,2,1,2,74,2,0,1,1,2,1,1,2,2
"80",165,1.5,2,0,1,2,1,-5,57926.0208334199,4,3.7797904266884,5,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,80,2,0,1,2,1,2,2,1,-5,1,1,0,-7,57926.0208334199,4,3.7797904266884,5,80,1,0,2,1,2,2,1,2,0,2,1,2,57926.0208334199,4,3.7797904266884,5,2,1,-5,1,1,0,-7,1,2,80,1,2,1,2,1,0,1,2,2,2,1,2,80,2,0,1,0,2,1,1,2,1
"81",167,3,3,0,0,-2,-2,-5,66599.0826698568,4,5.03541297388833,5,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,81,3,0,0,2,1,2,-2,-2,-5,1,1,0,-7,66599.0826698568,4,5.03541297388833,5,81,1,1,2,1,1,2,1,3,0,1,1,2,66599.0826698568,4,5.03541297388833,5,-2,-2,-5,1,1,0,-7,0,2,81,1,2,1,2,1,1,1,2,2,1,1,2,81,3,0,0,1,2,1,1,-2,-2
"82",168,2.25,2,0,1,2,2,-5,0,4,0.673472732088254,1,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,82,2,0,1,1,1,2,2,2,-5,1,1,0,-7,0,4,0.673472732088254,1,82,1,1,2,1,2,2,1,2,0,2,1,2,0,4,0.673472732088254,1,2,2,-5,1,1,0,-7,1,1,82,1,2,1,2,1,1,1,2,2,2,1,2,82,2,0,1,1,1,1,1,2,2
"86",173,3.25,4,0,0,2,1,-5,13951.6409967304,4,0.536355188715299,2,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,86,4,0,0,2,1,2,2,1,-5,1,1,0,-7,13951.6409967304,4,0.536355188715299,2,86,1,1,2,1,1,2,1,4,0,1,1,2,13951.6409967304,4,0.536355188715299,2,2,1,-5,1,1,0,-7,0,2,86,1,2,1,2,1,1,1,2,2,1,1,2,86,4,0,0,1,2,1,1,2,1
"90",182,2.5,7,0,0,2,-2,-5,2737.23764059295,4,0,1,2,1,0,-7,1,1,2,0,1,1,0,1,3,0,90,7,0,0,2,1,1,2,-2,-5,0,1,0,-7,2737.23764059295,4,0,1,90,1,0,2,0,1,3,1,7,0,1,1,1,2737.23764059295,4,0,1,2,-2,-5,0,1,0,-7,0,2,90,1,3,1,2,0,0,1,3,2,1,1,1,90,7,0,0,0,2,1,0,2,-2
"91",183,2.75,2,0,1,-2,-2,-5,51492.754723995,2,2.37315113258853,4,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,91,2,0,1,2,1,2,-2,-2,-5,1,1,0,-7,51492.754723995,2,2.37315113258853,4,91,1,1,2,1,1,2,1,2,0,1,1,2,51492.754723995,2,2.37315113258853,4,-2,-2,-5,1,1,0,-7,1,2,91,1,2,1,2,1,1,1,2,2,1,1,2,91,2,0,1,1,2,1,1,-2,-2
"92",185,3,4,0,0,1,1,-5,7586.92701190484,4,0.617745160999678,1,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,92,4,0,0,1,1,2,1,1,-5,1,1,0,-7,7586.92701190484,4,0.617745160999678,1,92,1,0,2,1,1,2,1,4,0,1,1,2,7586.92701190484,4,0.617745160999678,1,1,1,-5,1,1,0,-7,0,1,92,1,2,1,2,1,0,1,2,2,1,1,2,92,4,0,0,0,1,1,1,1,1
"94",188,3.25,1,1,0,-2,1,-5,39743.7663064731,3,1.55409974221896,3,1,1,0,-7,1,1,1,0,2,1,1,1,1,0,94,1,1,0,1,1,2,-2,1,-5,0,1,0,-7,39743.7663064731,3,1.55409974221896,3,94,1,1,1,0,1,1,1,1,1,1,1,2,39743.7663064731,3,1.55409974221896,3,-2,1,-5,0,1,0,-7,0,1,94,1,1,1,1,0,1,1,1,1,1,1,2,94,1,1,0,1,1,1,0,-2,1
"95",189,2.5,3,0,0,2,2,-5,1722.33868690572,4,0,2,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,95,3,0,0,1,1,2,2,2,-5,1,1,0,-7,1722.33868690572,4,0,2,95,1,1,2,1,2,2,1,3,0,2,1,2,1722.33868690572,4,0,2,2,2,-5,1,1,0,-7,0,1,95,1,2,1,2,1,1,1,2,2,2,1,2,95,3,0,0,1,1,1,1,2,2
"96",192,1.5,1,1,0,-2,-2,-5,64534.800406843,4,5.62076437320081,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,96,1,1,0,2,1,2,-2,-2,-5,1,1,0,-7,64534.800406843,4,5.62076437320081,5,96,1,1,1,1,1,1,1,1,1,1,1,2,64534.800406843,4,5.62076437320081,5,-2,-2,-5,1,1,0,-7,0,2,96,1,1,1,1,1,1,1,1,1,1,1,2,96,1,1,0,1,2,1,1,-2,-2
