"","RFcodes","data.info$description[data.info$code == RFcodes[i]]","scores"
"86","p5j4b","J4B. Child receives free or reduced price lunch",1.5715648118446
"87","p5j7","J7. Amount paid for groceries or food used at home in last month",3.02797741372373
"88","p5j10","J10. Amount of money spent eating out in last month",3.54026018111778
"89","p5k1a","K1A. Taking care of children is harder than I thought it would be",1.0949548814827
"90","p5k1b","K1B. I feel trapped by my responsibilities as a parent",0.841271178433663
"91","p5k1c","K1C. I find taking care of my child is much more work than pleasure",1.03930503702537
"92","p5l5","L5. Number of days per week you drop off or pick up child",0.855804195988509
"93","p5l13f","L13F. Gifted and talented program",0.842023544886564
"94","p5l17d","L17D. Discussed homework not done with child's teacher in this/last school year",0.967794835511967
"95","p5l18","L18. Who usually initiated the contact",1.18939801281186
"96","p5m1","M1. Number of families on block know well",1.93510840936498
"97","p5m2e","M2E. Neighbors get involved if fire station budget cut",1.50748745887324
"98","p5m3d","M3D. Amount agree people in neighborhood do not share values",0.89409967109475
"99","p5q1a","Q1A. Parent has explained why something child did was wrong",0.884003022873446
"100","p5q1b","Q1B. Parent has put child in ""time out"" or sent child to room",1.32066100149004
"101","p5q1e","Q1E. Parent has given child something else to do instead of what child was doing",1.32903274503638
"102","p5q1f","Q1F. Parent has shouted, yelled or screamed at child",1.51250835867466
"103","p5q1g","Q1G. Parent has spanked child on bottom with bare hand",1.12668183186226
"104","p5q1h","Q1H. Parent has swore or cursed at child",0.824871530329577
"105","p5q1j","Q1J. Parent has threatened to spank or hit child but did not actually do it",1.34592258247748
"106","p5q1k","Q1K. Parent has slapped child on hand, arm or leg",2.67817771034722
"107","p5q1l","Q1L. Parent has taken away privileges",1.16654601739567
"108","p5q3g","Q3G. Child can't concentrate, can't pay attention for long",0.986482645331951
"109","p5q3v","Q3V. Child is disobedient at school",0.864216808785291
"110","p5q3bt","Q3BT. Child shows off or clowns",1.06972469842863
"111","p5q3bw","Q3BW. Child is inattentive or easily distracted",3.79397278123073
"112","p5q3cg","Q3CG. Child has sudden changes in mood or feelings",1.15625169437482
"113","p5q3dk","Q3DK. Child starts conversations rather than waiting for others to talk first",0.821043798343003
"114","hv5_dspr","Digit Span percentile rank",1.79179335921902
"115","hv5_dsss","Digit Span scaled score",1.46860490104889
"116","hv5_dsraw","Digit Span total raw score",1.69076873461799
"117","hv5_ppvtss","PPVT standard score",19.1109435101295
"118","hv5_wj9ss","Woodcock Johnson Test 9 standard score",5.95231024574577
"119","hv5_wj10ss","Woodcock Johnson Test 10 standard score",19.8149199466538
"120","hv5_wj9raw","Woodcock Johnson Test 9 raw score",2.90711727676967
"121","o5a8","A8. Best describe the home or building",0.850070086749079
"122","o5f5","F5. Persistence of child when completing the Digit Span Test",0.935545715798575
"123","o5g4","G4. Parent/PCG's ability to articulate answers",1.43400735039095
"124","hv5_9a1","10a1. child weight measurements 1",1.52427096824804
"125","hv5_9a2","10a2. child weight measurements 2",1.54497308758175
"126","hv5_11a1","11a1. child height measurements 1",2.01800547814505
"127","hv5_11a2","11a2. child height measurements 2",2.00964038678365
"128","hv5_cwtlb","child weight(lbs.)-from mult. measures",1.40369914726944
"129","hv5_chtcm","child height(cm.)-from mult. measures",2.58372230000848
"130","hv5_cwtkg","child's weight in kg",1.31760391415029
"131","hv5_cbmi","child's bmi",1.8996862216862
"132","hv5_agem","child's age in months",1.49632346305474
"133","hv5_waz","Child's weight-for-age Z-score",1.65076101497518
"134","hv5_wap","Child's weight-for-age percentile",1.64810883279335
"135","hv5_bmiz","Child's Body Mass Index Z-score",2.23016815798465
"136","hv5_bmip","Child's Body Mass Index percentile",2.20822829421623
"137","hv5_haz","Child's height-for-age Z-score",2.51250222850334
"138","hv5_hap","Child's height-for-age percentile",2.7588717236958
"139","hv5_8a1","8A1. BIO MOTHER weight measurements 1",1.66458535728855
"140","hv5_8a2","8A2. BIO MOTHER weight measurements 2",1.64099216043671
"141","hv5_mwtlb","BioMom's weight in lb",1.83482884886541
"142","hv5_mhtcm","BioMom's height in cm",3.19718804896563
"143","hv5_mwtkg","BioMom's weight in kg",1.76809143069668
"144","hv5_mbmi","BioMom's BMI",1.84273612149651
"145","hv5_mbmiz","BioMom BMI Z-score",1.94842282770514
"146","cf5age","Constructed - Father's age (years)",2.36975372911021
"147","cm5age","Constructed - Mother's age (years)",3.23485123364142
"148","cm5b_age","Constructed - Child age at time of mother interview (months)",1.56624735863658
"149","cf5b_age","Constructed - Child age at time of father interview (months)",1.7083204502724
"150","cm5fevjail","Constructed - mother report, father has spent time in jail by mother nine-year i",0.841530766224586
"151","cm5edu","Mother's education: year 9",1.56949952789279
"152","cf5edu","Father's education: year 9",2.32304770799968
"153","cm5hhinc","Constructed - Mother's Household income (with imputed values)",12.442906984822
"154","cf5hhinc","Constructed - Father's Household income (with imputed values)",4.85427910701778
"155","cf5hhincb","Constructed - Household income mother report for married/cohab if available (wit",8.18058118980404
"156","cm5povco","Constructed - Mother's household income/poverty threshold at 9-year",7.28374372565643
"157","cf5povco","Constructed - father's household income/poverty threshold at 9-year",4.09128691670462
"158","cf5povcob","Constructed - father's household income/poverty threshold at 9-year, mother repo",7.80164090781006
"159","cm5povca","Constructed - Mother's poverty category at 9-year",1.18478815526655
"160","cf5povca","Constructed - Father's poverty category at 9-year",0.808837302041295
