"","Code","Description"
"82","k5f1o","F1O. Purposely set fire to building, car, or other or tried to do so"
"83","k5f1p","F1P. Avoided paying for things such as movies, bus or subway, or food"
"84","k5f1q","F1Q. Thrown rocks or bottles at people or cars"
"85","k5g1a","G1A. I stay with a task until I solve it"
"86","k5g1b","G1B. Even when a task is difficult, I want to solve it anyway"
"87","k5g1c","G1C. I keep my things orderly"
"88","k5g1d","G1D. I try to do my best on all my work"
"89","k5g1e","G1E. I follow things through to the end"
"90","k5g2a","G2A. I feel angry when I have trouble learning something"
"91","k5g2b","G2B. I often argue with other kids"
"92","k5g2c","G2C. I worry about taking tests"
"93","k5g2d","G2D. It's hard for me to pay attention"
"94","k5g2e","G2E. I often feel lonely"
"95","k5g2f","G2F. I get distracted easily"
"96","k5g2g","G2G. I feel sad a lot of the time"
"97","k5g2h","G2H. It's hard for me to finish my schoolwork"
"98","k5g2i","G2I. I worry about doing well in school"
"99","k5g2j","G2J. I worry about finishing my work"
"100","k5g2k","G2K. I worry about having someone to play with"
"101","k5g2l","G2L. I feel ashamed when I make mistakes at school"
"102","k5g2m","G2M. I get in trouble for talking and disturbing others"
"103","k5g2n","G2N. I get in trouble for fighting with other kids"
"104","k5h1","H1. Condition of health in general"
"105","k5h2","H2. Frequency you wear a seatbelt when riding in a car"
"106","n5a1","A1. Non-parental caregiver's relationship to child"
"107","n5a2","A2. Child started living with you on a regular basis"
"108","n5a2a","A2A. Month child started living with you on a regular basis"
"109","n5a2b","A2B. Year child started living with you on a regular basis"
"110","n5a3","A3. Child's biological brothers or sisters living with you"
"111","n5a4","A4. Number of brothers and/or sisters of child living with you"
"112","n5a5","A5. Child lives here full-time or splits time"
"113","n5a6b","A6B. Number of nights a week child stays with you"
"114","n5a7","A7. Person child mainly lived with before here"
"115","n5a8","A8. Date child last lived full-time with biological mother"
"116","n5a8a","A8A. Month child last lived full-time with biological mother"
"117","n5a8b","A8B. Year child last lived full-time with biological mother"
"118","n5a10","A10. Child's mother and father live together"
"119","n5a12","A12. Child will live with you until grows up"
"120","n5a13","A13. Length of time child will stay with you"
"121","n5a13a","A13A. Number of months child will stay with you"
"122","n5a13b","A13B. Number of years child will stay with you"
"123","n5a13c","A13C. Age of child when child will stop living with you"
"124","n5a14","A14. Person child will live with after you"
"125","n5a15","Receive payment for taking care of child"
"126","n5a16a","A16A. Payments received for other children in your household"
"127","n5a16b","A16B. Number of children for whom you receive payments"
"128","n5a17","A17. Amount of payment received altogether last month"
"129","n5a17b","A17B. BioM and/or BioF give you regular amount of money each month"
"130","n5b0a","B0A. Respondent has contact with child's mother"
"131","n5b1","B1. Kind of mother to child"
"132","n5b2","B2. Mother seen child since he/she came to live with you"
"133","n5b2a","B2A. Number of days mother has seen child in past 30 days"
"134","n5b2b","B2B. Month that mother last saw child"
"135","n5b2c","B2C. Year mother last saw child"
"136","n5b3a","B3A. Frequency mother buys clothes for child"
"137","n5b3b","B3B. Frequency mother buys toys for child"
"138","n5b3c","B3C. Frequency mother buys medicine for child"
"139","n5b3d","B3D. Frequency mother buys food for child"
"140","n5b3e","B3E. Frequency mother pays for camp or school tuition"
"141","n5b3f","B3F. Frequency mother buys school supplies for child"
"142","n5b3g","B3G. Frequency mother buys entertainment items for child"
"143","n5b3h","B3H. Frequency mother buys personal items for child"
"144","n5b3i","B3I. Frequency mother buys anything else for child"
"145","n5c0a","C0A. NPCG has contact with child's father"
"146","n5c1","C1. Kind of father to child"
"147","n5c2","C2. Father seen child since he/she came to live with you"
"148","n5c2a","C2A. Number of days father has seen child during the past 30 days"
"149","n5c2b","C2B. Month father last saw child"
"150","n5c2c","C2C. Year father last saw child"
"151","n5c3a","C3A. Frequency father buys clothes for child"
"152","n5c3b","C3B. Frequency father buys toys for child"
"153","n5c3c","C3C. Frequency father buys medicine for child"
"154","n5c3d","C3D. Frequency father buys food for child"
"155","n5c3e","C3E. Father pays for camp or school tuition"
"156","n5c3f","C3F. Frequency father buys school supplies for child"
"157","n5c3g","C3G. Frequency father buys entertainment items for child"
"158","n5c3h","C3H. Frequency father buys personal items for child"
"159","n5c3i","C3I. Frequency father buys anything else for child"
"160","n5d1","D1. Gender of respondent"
"161","n5d2_age","Respondent age (constructed)"
"162","n5d2a","D2A. Number of people currently living with you"
"163","n5d3","D3. Number of people who currently live with you"
"164","n5d3b_1","D3B_1. Gender of 1st person in household"
"165","n5d3c_1","D3C_1. Age of 1st person in household"
"166","n5d3c2_1","D3C2_1. Age range of 1st person in household"
"167","n5d3d_1","D3D_1. Relation of NNPCG to 1st person in household"
"168","n5d3e_1","D3E_1. Employment status of 1st person in household"
"169","n5d3b_2","D3B_2. Gender of 2nd person in household"
"170","n5d3c_2","D3C_2. Age of 2nd person in household"
"171","n5d3c2_2","D3C2_2. Age range of 2nd person in household"
"172","n5d3d_2","D3D_2. Relation of NPCG to 2nd person in household"
"173","n5d3e_2","D3E_2. Employment status of 2nd person in household"
"174","n5d3b_3","D3B_3. Gender of 3rd person in household"
"175","n5d3c_3","D3C_3. Age of 3rd person in household"
"176","n5d3c2_3","D3C2_3. Age range of 3rd person in household"
"177","n5d3d_3","D3D_3. Relation of NPCG to 3rd person in household"
"178","n5d3e_3","D3E_3. Employment status of 3rd person in household"
"179","n5d3b_4","D3B_4. Gender of 4th person in household"
"180","n5d3c_4","D3C_4. Age of 4th person in household"
"181","n5d3c2_4","D3C2_4. Age range of 4th person in household"
"182","n5d3d_4","D3D_4. Relation of NPCG to 4th person in household"
"183","n5d3e_4","D3E_4. Employment status of 4th person in household"
"184","n5d3b_5","D3B_5. Gender of 5th person in household"
"185","n5d3c_5","D3C_5. Age of 5th person in household"
"186","n5d3c2_5","D3C2_5. Age range of 5th person in household"
"187","n5d3d_5","D3D_5. Relation of NPCG to 5th person in household"
"188","n5d3e_5","D3E_5. Employment status of 5th person in household"
"189","n5d3b_6","D3B_6. Gender of 6th person in household"
"190","n5d3c_6","D3C_6. Age of 6th person in household"
"191","n5d3c2_6","D3C2_6. Age range of 6th person in household"
"192","n5d3d_6","D3D_6. Relation of NPCG to 6th person in household"
"193","n5d3e_6","D3E_6. Employment status of 6th person in household"
"194","n5d3b_7","D3B_7. Gender of 7th person in household"
"195","n5d3c_7","D3C_7. Age of 7th person in household"
"196","n5d3c2_7","D3C2_7. Age range of 7th person in household"
"197","n5d3d_7","D3D_7. Relation of NPCG to 7th person in household"
"198","n5d3e_7","D3E_7. Employment status of 7th person in household"
"199","n5d3b_8","D3B_8. Gender of 8th person in household"
"200","n5d3c_8","D3C_8. Age range of 8th person in household"
"201","n5d3c2_8","D3C2_8. Age range of 8th person in household"
"202","n5d3d_8","D3D_8. Relation of NPCG to 8th person in household"
"203","n5d3e_8","D3E_8. Employment status of 8th person in household"
"204","n5d3f","D3F. Anyone else temporarily away from home, in a dorm, or any babies"
"205","n5d3h","D3H. Spouse or partner who lives in household"
"206","n5d5a","D5A. Country or territory where respondent was born"
"207","n5d5c","D5C. United States citizen"
"208","n5e1","E1. Highest grade of school or highest degree you completed"
"209","n5e1b","E1B. Grade completed"
"210","n5e2","E2. Current employment status"
"211","n5e3","E3. Total income of household"
"212","n5e3a","E3A. Range of household income"
"213","n5f0","F0. Satisfaction with life overall"
"214","n5f1","F1. Quality of health"
"215","n5f2","F2. Serious health problem limiting amount or kind of work"
"216","n5f2b","F2B. Take prescribed medication for physical or mental health"
"217","n5f2b1a","F2B1A. Take any prescribed medication for diabetes"
"218","n5f2b1b","F2B1B. Take any prescribed medication for asthma"
"219","n5f2b1c","F2B1C. Take prescribed medication for high blood pressure"
"220","n5f2b1d","F2B1D. Take prescribed medication for depression"
"221","n5f2b1e","F2B1E. Take prescribed medication for anxiety"
"222","n5f2b1f","F2B1F. Take prescribed medication for Attention Deficit"
"223","n5f2b1g","F2B1G. Take prescribed medication for pain"
"224","n5f2b1h","F2B1H. Take prescribed medication for seizures or epilepsy"
"225","n5f2b1i","F2B1I. Take prescribed medication for anything else"
"226","n5f2c","F2C. Stayed overnight in a hospital or gone to emergency room"
"227","n5f2d","F2D. Number of times you stayed overnight in a hospital"
"228","n5f2d1","F2D1. Number of times went to emergency room because of own injury or illness"
"229","n5f2e","F2E. Covered by health insurance now"
"230","n5f3","F3. Felt sad, blue, depressed, for 2 or more weeks"
"231","n5f4","F4. Length of time feelings of sad, blue, or depressed lasted per day"
"232","n5f5","F5. Frequency of depression during worst two week period"
"233","n5f6","F6. Lost interest in hobbies, work, or activities"
"234","n5f7","F7. Lost interest in hobbies, work, activities two weeks or more"
"235","n5f8","F8. Length of time loss of interest in things lasted per day"
"236","n5f9","F9. Frequency of loss of interest in things in two week period"
"237","n5f10","F10. Felt more tired out or low on energy during 2 week period"
"238","n5f11","F11. Gained or lost weight without trying or stayed the same"
"239","n5f11a","F11A. Number of pounds gained or lost in these two weeks"
"240","n5f12","F12. Trouble falling asleep more than usual during the two weeks"
"241","n5f12a","F12A. Frequency of trouble sleeping"
"242","n5f13","F13. More trouble concentrating"
"243","n5f14","F14. Feeling down on themselves, no good, worthless"
"244","n5f15","F15. Thought about death"
"245","n5f16a","F16A. Little control over things that happen to me."
"246","n5f16b","F16B. No way to solve some of the problems I have"
"247","n5f16c","F16C. Little I can do to change important things in my life"
"248","n5f16d","F16D. Often feel helpless in dealing with problems"
"249","n5f16e","F16E. Feelings of being pushed around"
"250","n5f17","F17. Smoked cigarettes in the past month"
"251","n5f18","F18. Amount smoked per day"
"252","n5g1a","G1A. Received free food or meals in past twelve months because not enough money"
"253","n5g1b","G1B. Was hungry but did not eat because not enough money"
"254","n5g1c","G1C. Rent or mortgage was not paid because not enough money"
"255","n5g1d","G1D. Evicted from home or apartment for not paying rent or mortgage"
"256","n5g1e","G1E. Gas, oil, or electricity bill was not paid because not enough money"
"257","n5g1f","G1F. Gas or electric service ever turned off or oil not delivered"
"258","n5g1g","G1G. Borrowed money from friends or family to help pay bills"
"259","n5g1h","G1H. Moved in with other people because of financial problems"
"260","n5g1i","G1I. Stayed at shelter, abandoned building, or in automobile"
"261","n5g1j","G1J. Someone in household didn t see a doctor or go to hospital because of cost"
"262","n5a6_1","A6_1. Child also stays with BioM"
"263","n5a6_2","A6_2. Child also stays with BioM and BioF"
"264","n5a6_3","A6_3. Child also stays with BioF"
"265","n5a6_4","A6_4. Child also stays with grandparent"
"266","n5a6_5","A6_5. Child also stays with aunt/uncle"
"267","n5a6_6","A6_6. Child also stays with other relative"
"268","n5a6_7","A6_7. Child also stays with friend"
"269","n5a6_8","A6_8. Child also stays with foster parent"
"270","n5a6_91","A6_91. Child also stays with other"
"271","n5a9_1","A9_1. Child not living with BioM because mother deceased"
"272","n5a9_2","A9_2. Child not living with BioM because mother in jail"
"273","n5a9_3","A9_3. Child not living with BioM because mother was not a good mother"
"274","n5a9_4","A9_4. Child not living with BioM because removed by Child Protective Services"
"275","n5a9_5","A9_5. Child not living with BioM because mother is sick"
"276","n5a9_6","A9_6. Child not living with BioM because mother is too busy"
"277","n5a9_7","A9_7. Child not living with BioM because mother has problems with husband/boyfri"
"278","n5a9_8","A9_8. Child not living with BioM because mother can't afford to keep"
"279","n5a9_9","A9_9. Child not living with BioM because mother has drug/alcohol problems"
"280","n5a9_10","A9_10. Child not living with BioM because mother gave child up"
"281","n5a9_11","A9_11. Child not living with BioM because mother thinks NPCG can do better"
"282","n5a9_12","A9_12. Child not living with BioM because mother's neighborhood is bad for child"
"283","n5a9_91","A9_91. Child not living with BioM because of other reason"
"284","n5a11_1","A11_1. Child not living with BioF because father unknown"
"285","n5a11_2","A11_2. Child not living with BioF because father is deceased"
"286","n5a11_3","A11_3. Child not living with BioF because father is in jail"
"287","n5a11_4","A11_4. Child not living with BioF because father was not a good father"
"288","n5a11_5","A11_5. Child not living with BioF because removed by Child Protective Services"
"289","n5a11_6","A11_6. Child not living with BioF because father is sick"
"290","n5a11_7","A11_7. Child not living with BioF because father is too busy"
"291","n5a11_8","A11_8. Child not living with BioF because father has problems with wife/girlfrie"
"292","n5a11_9","A11_9. Child not living with BioF because father can't afford to keep"
"293","n5a11_10","A11_10. Child not living with BioF because father has drug/alcohol problems"
"294","n5a11_11","A11_11. Child not living with BioF because father does not want child"
"295","n5a11_12","A11_12. Child not living with BioF because father thinks NPCG can do better"
"296","n5a11_13","A11_13. Child not living with BioF because father's neighborhood is bad for chil"
"297","n5a11_91","A11_91. Child not living with BioF because of other reason"
"298","n5a11_101","A11_101. Child not living with BioF because father was never involved"
"299","n5a11_102","A11_102. Father living in same place as child but is not PCG"
"300","n5a11_103","A11_103. Father does not have a home for child"
"301","n5a16_1","A16_1. NPCG receives payments from child's mother"
"302","n5a16_2","A16_2. NPCG receives payments from child's father"
"303","n5a16_3","A16_3. NPCG receives payments from foster care"
"304","n5a16_4","A16_4. NPCG receives payments from TANF/welfare"
"305","n5a16_91","A16_91. NPCG receives payments from other source"
"306","n5a16_101","A16_101. NPCG receives death benefits from Social Security for child"
"307","n5a16_102","A16_102. NPCG receives payments from unspecified government source"
"308","n5f2a_1","F2A_1. NPCG has diabetes"
"309","n5f2a_2","F2A_2. NPCG has asthma"
"310","n5f2a_3","F2A_3. NPCG has high blood pressure"
"311","n5f2a_4","F2A_4. NPCG has pain"
"312","n5f2a_5","F2A_5. NPCG has seizures/epilepsy"
"313","n5f2a_6","F2A_6. NPCG has heart disease"
"314","n5f2a_7","F2A_7. NPCG has back problems"
"315","n5f2a_91","F2A_91. NPCG has other health issue"
"316","n5f2b1_101","F2B1_101. Take medication for cholesterol"
"317","n5f2b1_102","F2B1_102. Take medication for thyroid"
"318","cn5stat","Status of Nonparental PCG Interview"
"319","cn5nint","Constructed - Was non-parental PCG interviewed at 9-year follow-up?"
"320","cn5md_case","_con Constructed - NPCG meets depression criteria (conservative) at nine-year (CIDI)"
"321","cn5md_case","_lib Constructed - NPCG meets depression criteria (liberal) at nine-year (CIDI)"
"322","pcg5stat","NPCG/PCG interview status"
"323","pcg5idstat","PCG identifier status"
"324","p5h1","H1. Description of child's health"
"325","p5h1a","H1A. Wheezing or whistling in child's chest"
"326","p5h1b","H1B. Child diagnosed with asthma by doctor or health professional"
"327","p5h1ca","H1CA. Amount of time asthma kept child from getting things done"
"328","p5h1cb","H1CB. Frequency child had shortness of breath in past month"
"329","p5h1cc","H1CC. Frequency child's asthma symptoms awoke child"
"330","p5h1cd","H1CD. Frequency child used rescue inhaler in past month"
"331","p5h1ce","H1CE. Rate child's control of asthma during the past month"
"332","p5h2a","H2A. Doctor has diagnosed ADD/ADHD"
"333","p5h2b","H2B. Doctor has diagnosed mental retardation or developmental delay"
"334","p5h2c","H2C. Doctor has diagnosed down syndrome"
"335","p5h2d","H2D. Doctor has diagnosed cerebral palsy"
"336","p5h2e","H2E. Doctor has diagnosed sickle cell anemia"
"337","p5h2f","H2F. Doctor has diagnosed autism"
"338","p5h2g","H2G. Doctor has diagnosed congenital heart disease or heart condition"
"339","p5h2h","H2H. Doctor has diagnosed total blindness"
"340","p5h2i","H2I. Doctor has diagnosed partial blindness"
"341","p5h2j","H2J. Doctor has diagnosed total deafness"
"342","p5h2k","H2K. Doctor has diagnosed partial deafness"
"343","p5h2l","H2L. Doctor has diagnosed a speech or language problem"
"344","p5h2m","H2M. Doctor has diagnosed problems with limbs"
"345","p5h3a","H3A. Child had hay fever or respiratory allergy in last 12 months"
"346","p5h3b","H3B. Child had any food or digestive allergy in last 12 months"
"347","p5h3c","H3C. Child had eczema or skin allergy in last 12 months"
"348","p5h3d","H3D. Child had frequent diarrhea or colitis in last 12 months"
"349","p5h3e","H3E. Child had anemia in last 12 months"
"350","p5h3f","H3F. Child had frequent headaches or migraines in last 12 months"
"351","p5h3g","H3G. Child had three or more ear infections in last 12 months"
"352","p5h3h","H3H. Child had seizures in last 12 months"
"353","p5h3i","H3I. Child had stuttering or stammering in past 12 months"
"354","p5h3j","H3J. Child had diabetes in last 12 months"
"355","p5h3a1","H3A1. Child takes medicine where a prescription was needed"
"356","p5h4","H4. Child has been tested for lead poisoning"
"357","p5h5","H5. Results of the lead poisoning test"
"358","p5h6","H6. Number of times child had regular check-up"
"359","p5h7","H7. Child has a usual place for routine health care"
"360","p5h8","H8. Place child usually goes for health care"
"361","p5h9","H9. Number of times child saw doctor/nurse due to illness, accident, injury"
"362","p5h10","H10. Number of times child taken to emergency room in last 12 months"
"363","p5h11","H11. Child has stayed overnight in hospital in last 12 months"
"364","p5h12","H12. Number of times child was admitted to hospital and stayed overnight"
"365","p5h13","H13. Child covered by Medicaid or a public, federal or state program"
"366","p5h14","H14. Child covered by private health insurance plan"
"367","p5h15","H15. PCG/Bio Parent smokes"
"368","p5h15a","H15A. Anyone else in household smoke"
"369","p5h15b","H15B. Number of other people in household who smoke"
"370","p5h15c","H15C. Hours a day child spends with someone who is smoking"
"371","p5h16","H16. Last time child saw a dentist for regular check-up"
"372","p5h16a","H16A. Number of dental fillings child has had"
"373","p5h16b","H16B. Took child to dentist because of an emergency"
"374","p5h17","H17. Noticed that child's growth spurt started"
"375","p5h17a","H17A. Noticed growth of underarm/pubic hair"
"376","p5h17b","H17B. Have you noticed any changes in her/his skin, especially pimples?"
"377","p5h19","H19. Noticed deepening of child's voice"
"378","p5h19a","H19A. Noticed facial hair starting to grow"
"379","p5h21","H21. Child's breasts begun to grow"
"380","p5h22","H22. Child had first menstrual period"
"381","p5h22a","H22a. Child's age in years at first menstruation"
"382","p5h22b","H22B. Child's age in months at first menstruation"
"383","p5h23","H23. Child's physical development compared to other boys or girls"
"384","p5i1a","I1A. Frequency you did household chores with child in past month"
"385","p5i1b","I1B. Frequency you played sports or outdoor activities with child in past month"
"386","p5i1c","I1C. Frequency you watch TV or videos with child in past month"
"387","p5i1d","I1D. Frequency you played video or computer games with child in past month"
"388","p5i1e","I1E. Frequency you read books or talked about books with child in past month"
"389","p5i1f","I1F. Frequency you participated in indoor activities with child in past month"
"390","p5i1g","I1G. Frequency you talked about current events with child in past month"
"391","p5i1h","I1H. Frequency you talked about child's day with child in past month"
"392","p5i1i","I1I. Frequency you made sure child's homework was complete in past month"
"393","p5i1j","I1J. Frequency you helped child with homework in past month"
"394","p5i2a","I2A. Child participated in athletic activities in past year"
"395","p5i2b","I2B. Child participated in music lessons, art class, or performing arts in past"
"396","p5i2c","I2C. Child participated in church or religious groups in past year"
"397","p5i2d","I2D. Child participated in clubs like scouts or programs at YMCA in past year"
"398","p5i2e","I2E. Child participated in academic activities like tutoring or math lab in past"
"399","p5i3","I3. Amount of time child watches TV or videos on a weekday"
"400","p5i4","I4. Amount of time child watches TV or videos on a weekend day"
"401","p5i5","I5. Amount of time child plays outdoors on typical weekday"
"402","p5i6","I6. Amount of time child plays outdoors on typical weekend day"
"403","p5i7","I7. Amount of time child spends doing homework on weekday"
"404","p5i8","I8. Amount of time child spends doing homework on weekend day"
"405","p5i9","I9. Child has regular bed time during the week"
"406","p5i10","I10. Hour when child usually goes to bed"
"407","p5i10a","I10A. Minutes when child usually goes to bed"
"408","p5i10b","I10B. AM or PM when child usually goes to bed"
"409","p5i11","I11. Number of weeknights child goes to bed at said time"
"410","p5i12","I12. Number of hours child sleeps on weeknights"
"411","p5i13","I13. Number of TVs in home"
"412","p5i14","I14. Child has TV in bedroom"
"413","p5i15","I15. Number of hours TV is on"
"414","p5i16","I16. Talked about TV programs with child in past 2 weeks"
"415","p5i17","I17. Have a computer in the home"
"416","p5i18b","I18B. Number of hours per day child uses computer"
"417","p5i19","I19. Child has desk or table to do homework"
"418","p5i20a","I20A. Child has access to 10 books at home"
"419","p5i20b","I20B. Number of books that belong to child"
"420","p5i20c","I20C. Child has a dictionary"
"421","p5i21a","I21A. Child read book for fun in the last three months"
"422","p5i21b","I21B. You read book for fun in the last three months"
"423","p5i22a","I22A. You can't hear yourself think in home"
"424","p5i22b","I22B. Home is a real zoo"
"425","p5i22c","I22C. Children have a regular bedtime routine"
"426","p5i22d","I22D. You are usually able to stay on top of things"
"427","p5i22e","I22E. The atmosphere in your house is calm"
"428","p5i23","I23. Number of child's close friends you know by sight, first and last name"
"429","p5i24","I24. Number of child's close friends' parents you know by sight, first and last"
"430","p5i25","I25. Number of child's close friends you saw last week"
"431","p5i26","I26. Frequency you know what child does during free time"
"432","p5i27","I27. Frequency you know how child spends money"
"433","p5i28","I28. Number of mornings child eats breakfast in week"
"434","p5i29","I29. Number of nights family eats dinner together"
"435","p5i30a","I30A. Confirm where BioF lives"
"436","p5i30c","I30C. Child has seen father in past year"
"437","p5i31a","I31A. Frequency father did household chores with child in past month"
"438","p5i31b","I31B. Frequency father played sports or outdoor activities with child in past mo"
"439","p5i31c","I31C. Frequency father watched TV or videos with child in past month"
"440","p5i31d","I31D. Frequency father played video or computer games with child in past month"
"441","p5i31e","I31E. Frequency father read books or talked about books with child in past month"
"442","p5i31f","I31F. Frequency father participated in indoor activities with child in past mont"
"443","p5i31g","I31G. Frequency father talked about current events with child in past month"
"444","p5i31h","I31H. Frequency father talked about day with child in past month"
"445","p5i31i","I31I. Frequency father made sure child's homework was complete in past month"
"446","p5i31j","I31J. Frequency father helped child with homework in past month"
"447","p5i32a","I32A. Frequency father attended open house or back-to-school night in this/last"
"448","p5i32b","I32B. Frequency father went to scheduled parent-teacher conference in this/last"
"449","p5i32c","I32C. Frequency father attended school or class event in this/last school year"
"450","p5i33a","I33A. Frequency father shouted/screamed at child in past year"
"451","p5i33b","I33B. Frequency father spanked/slapped child in past year"
"452","p5i33c","I33C. Frequency father called child dumb or lazy in past year"
"453","p5i34","I34. Number of child's close friends father knows by sight, first and last name"
"454","p5i35","I35. Father has talked to doctor about child in last year"
"455","p5i36","I36. Father has talked to teachers in last year about how child is doing"
"456","p5i37","I37. Father has taken child to school, a program, or camp in past month"
"457","p5i38a","I38A. Amount of influence father has on child's school"
"458","p5i38b","I38B. Amount of influence father has on child's religion"
"459","p5i38c","I38C. Amount of influence father has on child's health care"
"460","p5i39a","I39A. Living with a partner"
"461","p5i40a","I40A. Frequency partner did household chores with child in past month"
"462","p5i40b","I40B. Frequency partner played sports or outdoor activities with child in past m"
"463","p5i40c","I40C. Frequency partner watched TV or videos with child in past month"
"464","p5i40d","I40D. Frequency partner played video or computer games with child in past month"
"465","p5i40e","I40E. Frequency partner read books or talked about books with child in past mont"
"466","p5i40f","I40F. Frequency partner participated in indoor activities with child in past mon"
"467","p5i40g","I40G. Frequency partner talked about current events with child in past month"
"468","p5i40h","I40H. Frequency partner talked about day with child in past month"
"469","p5i40i","I40I. Frequency partner made sure child's homework was complete in past month"
"470","p5i40j","I40J. Frequency partner helped child with homework in past month"
"471","p5i41a","I41A. Frequency partner attended open house or back-to-school night in this/last"
"472","p5i41b","I41B. Frequency partner went to scheduled parent-teacher conference in this/last"
"473","p5i41c","I41C. Frequency partner attended school or class event in this/last school year"
"474","p5i42a","I42A. Frequency partner shouted/screamed at child in past year"
